userId,localStartTime,localEndTime,utcStartTime,utcEndTime,currentRound,difficultyLevel,sequenceAttempted,buttonMissed,timeSpentInSequence,totalSequencesAttemptedInRound,totalSequencesCorrectInRound,sequenceSuccessPercentageInRound




1ea793ff41f34fa3b6f41886edb8342f,12/15/2020 1:29:39 PM,12/15/2020 1:29:49 PM,12/15/2020 9:29:39 PM,12/15/2020 9:29:49 PM,1,0 (TUTORIAL),[1] ,,0:07,1,1,1

11603f9c348b404fba1879f322350e9a,12/15/2020 1:31:03 PM,12/15/2020 1:31:26 PM,12/15/2020 9:31:03 PM,12/15/2020 9:31:26 PM,1,0 (TUTORIAL),[1] ,[0],0:22,1,0,0

11603f9c348b404fba1879f322350e9a,12/15/2020 1:31:48 PM,12/15/2020 1:32:01 PM,12/15/2020 9:31:48 PM,12/15/2020 9:32:01 PM,2,1 (BLUE),[1] ,[0],0:11,1,0,0
11603f9c348b404fba1879f322350e9a,12/15/2020 1:31:48 PM,12/15/2020 1:32:05 PM,12/15/2020 9:31:48 PM,12/15/2020 9:32:05 PM,2,1 (BLUE),[1] ,,0:02,2,1,0.5
11603f9c348b404fba1879f322350e9a,12/15/2020 1:31:48 PM,12/15/2020 1:32:10 PM,12/15/2020 9:31:48 PM,12/15/2020 9:32:10 PM,2,1 (BLUE),[1] [2] ,,0:03,3,2,0.6666667

314afa2f342c4634b8926d0bc52c3240,12/15/2020 1:33:57 PM,12/15/2020 1:34:00 PM,12/15/2020 9:33:57 PM,12/15/2020 9:34:00 PM,1,0 (TUTORIAL),[1] ,,0:01,1,1,1

