userId,localStartTime,localEndTime,utcStartTime,utcEndTime,currentRound,difficultyLevel,sequenceAttempted,buttonMissed,timeSpentInSequence,totalSequencesAttemptedInRound,totalSequencesCorrectInRound,sequenceSuccessPercentageInRound
668b94d13e094e9b8e6bf0b42c4134c8,2/16/2021 7:37:56 PM,2/16/2021 7:38:02 PM,2/17/2021 3:37:56 AM,2/17/2021 3:38:02 AM,1,0 (TUTORIAL),[2] ,,0:04,1,1,1
668b94d13e094e9b8e6bf0b42c4134c8,2/16/2021 7:37:56 PM,2/16/2021 7:38:07 PM,2/17/2021 3:37:56 AM,2/17/2021 3:38:07 AM,1,0 (TUTORIAL),[2] [2] ,,0:03,2,2,1


668b94d13e094e9b8e6bf0b42c4134c8,2/16/2021 7:38:40 PM,2/16/2021 7:39:00 PM,2/17/2021 3:38:40 AM,2/17/2021 3:39:00 AM,2,1 (BLUE),[1] ,[0],0:18,1,0,0
668b94d13e094e9b8e6bf0b42c4134c8,2/16/2021 7:38:40 PM,2/16/2021 7:39:06 PM,2/17/2021 3:38:40 AM,2/17/2021 3:39:06 AM,2,1 (BLUE),[1] ,[0],0:04,2,0,0
668b94d13e094e9b8e6bf0b42c4134c8,2/16/2021 7:38:40 PM,2/16/2021 7:39:09 PM,2/17/2021 3:38:40 AM,2/17/2021 3:39:09 AM,2,1 (BLUE),[1] ,,0:02,3,1,0.3333333
668b94d13e094e9b8e6bf0b42c4134c8,2/16/2021 7:38:40 PM,2/16/2021 7:39:15 PM,2/17/2021 3:38:40 AM,2/17/2021 3:39:15 AM,2,1 (BLUE),[1] [1] ,,0:03,4,2,0.5
668b94d13e094e9b8e6bf0b42c4134c8,2/16/2021 7:38:40 PM,2/16/2021 7:39:21 PM,2/17/2021 3:38:40 AM,2/17/2021 3:39:21 AM,2,1 (BLUE),[1] [1] [0] ,,0:03,5,3,0.6
668b94d13e094e9b8e6bf0b42c4134c8,2/16/2021 7:38:40 PM,2/16/2021 7:39:29 PM,2/17/2021 3:38:40 AM,2/17/2021 3:39:29 AM,2,1 (BLUE),[1] [1] [0] [2] ,,0:04,6,4,0.6666667
668b94d13e094e9b8e6bf0b42c4134c8,2/16/2021 7:38:40 PM,2/16/2021 7:39:39 PM,2/17/2021 3:38:40 AM,2/17/2021 3:39:39 AM,2,1 (BLUE),[1] [1] [0] [2] [0] ,,0:04,7,5,0.7142857
668b94d13e094e9b8e6bf0b42c4134c8,2/16/2021 7:38:40 PM,2/16/2021 7:39:50 PM,2/17/2021 3:38:40 AM,2/17/2021 3:39:50 AM,2,1 (BLUE),[1] [1] [0] [2] [0] [2] ,,0:04,8,6,0.75
668b94d13e094e9b8e6bf0b42c4134c8,2/16/2021 7:38:40 PM,2/16/2021 7:40:03 PM,2/17/2021 3:38:40 AM,2/17/2021 3:40:03 AM,2,1 (BLUE),[1] [1] [0] [2] [0] [2] [1] ,,0:06,9,7,0.7777778
668b94d13e094e9b8e6bf0b42c4134c8,2/16/2021 7:38:40 PM,2/16/2021 7:40:19 PM,2/17/2021 3:38:40 AM,2/17/2021 3:40:19 AM,2,1 (BLUE),[1] [1] [0] [2] [0] [2] [1] [2] ,,0:07,10,8,0.8


