userId,localStartTime,localEndTime,utcStartTime,utcEndTime,currentRound,difficultyLevel,sequenceAttempted,buttonMissed,timeSpentInSequence,totalSequencesAttemptedInRound,totalSequencesCorrectInRound,sequenceSuccessPercentageInRound,roundCompleted
d1f1e6fbb8d9479c9ffd24c486214772,11/14/2020 7:04:30 PM,11/14/2020 7:04:35 PM,11/15/2020 3:04:30 AM,11/15/2020 3:04:35 AM,3,2 (GREEN),[3] [4] ,,0:02,1,1,1,False
d1f1e6fbb8d9479c9ffd24c486214772,11/14/2020 7:04:30 PM,11/14/2020 7:04:40 PM,11/15/2020 3:04:30 AM,11/15/2020 3:04:40 AM,3,2 (GREEN),[3] [4] [3] ,,0:02,2,2,1,False
d1f1e6fbb8d9479c9ffd24c486214772,11/14/2020 7:04:30 PM,11/14/2020 7:04:47 PM,11/15/2020 3:04:30 AM,11/15/2020 3:04:47 AM,3,2 (GREEN),[3] [4] [3] [2] ,[???],0:02,3,2,0.6666667,False
d1f1e6fbb8d9479c9ffd24c486214772,11/14/2020 7:04:30 PM,11/14/2020 7:04:53 PM,11/15/2020 3:04:30 AM,11/15/2020 3:04:53 AM,3,2 (GREEN),[3] [4] [3] ,,0:03,4,3,0.75,False
d1f1e6fbb8d9479c9ffd24c486214772,11/14/2020 7:05:08 PM,11/14/2020 7:05:32 PM,11/15/2020 3:05:08 AM,11/15/2020 3:05:32 AM,4,3 (RED),[0] [3] [5] ,,0:20,1,1,1,False
d1f1e6fbb8d9479c9ffd24c486214772,11/14/2020 7:05:08 PM,11/14/2020 7:05:38 PM,11/15/2020 3:05:08 AM,11/15/2020 3:05:38 AM,4,3 (RED),[0] [3] [5] [4] ,[???],0:02,2,1,0.5,True
d1f1e6fbb8d9479c9ffd24c486214772,11/14/2020 7:05:08 PM,11/14/2020 7:05:38 PM,11/15/2020 3:05:08 AM,11/15/2020 3:05:38 AM,4,3 (RED),[0] ,,0:02,3,2,0.6666667,True
d1f1e6fbb8d9479c9ffd24c486214772,11/14/2020 7:05:47 PM,11/14/2020 7:05:52 PM,11/15/2020 3:05:47 AM,11/15/2020 3:05:52 AM,5,4 (YELLOW),[4] [5] ,,0:03,1,1,1,False
d1f1e6fbb8d9479c9ffd24c486214772,11/14/2020 7:05:47 PM,11/14/2020 7:05:58 PM,11/15/2020 3:05:47 AM,11/15/2020 3:05:58 AM,5,4 (YELLOW),[4] [5] [0] ,[???],0:03,2,1,0.5,False
d1f1e6fbb8d9479c9ffd24c486214772,11/14/2020 7:05:47 PM,11/14/2020 7:06:05 PM,11/15/2020 3:05:47 AM,11/15/2020 3:06:05 AM,5,4 (YELLOW),[4] [5] ,,0:04,3,2,0.6666667,False
3ac2ebcfcd9a497aa7d0849340510577,11/14/2020 7:10:46 PM,11/14/2020 7:10:55 PM,11/15/2020 3:10:46 AM,11/15/2020 3:10:55 AM,1,0 (TUTORIAL),[0] ,,0:08,1,1,1,False
3ac2ebcfcd9a497aa7d0849340510577,11/14/2020 7:10:46 PM,11/14/2020 7:11:06 PM,11/15/2020 3:10:46 AM,11/15/2020 3:11:06 AM,1,0 (TUTORIAL),[0] [2] ,,0:08,2,2,1,False
3ac2ebcfcd9a497aa7d0849340510577,11/14/2020 7:10:46 PM,11/14/2020 7:11:14 PM,11/15/2020 3:10:46 AM,11/15/2020 3:11:14 AM,1,0 (TUTORIAL),[0] [2] [2] ,[???],0:05,3,2,0.6666667,False

3ac2ebcfcd9a497aa7d0849340510577,11/14/2020 7:11:27 PM,11/14/2020 7:11:30 PM,11/15/2020 3:11:27 AM,11/15/2020 3:11:30 AM,2,1 (BLUE),[2] ,,0:01,1,1,1,False
3ac2ebcfcd9a497aa7d0849340510577,11/14/2020 7:11:27 PM,11/14/2020 7:11:40 PM,11/15/2020 3:11:27 AM,11/15/2020 3:11:40 AM,2,1 (BLUE),[2] [1] ,,0:08,2,2,1,False
3ac2ebcfcd9a497aa7d0849340510577,11/14/2020 7:11:27 PM,11/14/2020 7:11:46 PM,11/15/2020 3:11:27 AM,11/15/2020 3:11:46 AM,2,1 (BLUE),[2] [1] [2] ,,0:03,3,3,1,False
3ac2ebcfcd9a497aa7d0849340510577,11/14/2020 7:11:27 PM,11/14/2020 7:11:55 PM,11/15/2020 3:11:27 AM,11/15/2020 3:11:55 AM,2,1 (BLUE),[2] [1] [2] [1] ,,0:04,4,4,1,False

3ac2ebcfcd9a497aa7d0849340510577,11/14/2020 7:12:06 PM,11/14/2020 7:12:20 PM,11/15/2020 3:12:06 AM,11/15/2020 3:12:20 AM,3,2 (GREEN),[3] ,,0:13,1,1,1,False

3ac2ebcfcd9a497aa7d0849340510577,11/14/2020 7:13:08 PM,11/14/2020 7:13:14 PM,11/15/2020 3:13:08 AM,11/15/2020 3:13:14 AM,4,3 (RED),[0] [3] [5] ,[???],0:03,1,0,0,False
3ac2ebcfcd9a497aa7d0849340510577,11/14/2020 7:13:08 PM,11/14/2020 7:13:20 PM,11/15/2020 3:13:08 AM,11/15/2020 3:13:20 AM,4,3 (RED),[0] [3] ,,0:03,2,1,0.5,False
3ac2ebcfcd9a497aa7d0849340510577,11/14/2020 7:13:08 PM,11/14/2020 7:13:26 PM,11/15/2020 3:13:08 AM,11/15/2020 3:13:26 AM,4,3 (RED),[0] [3] [5] ,[???],0:03,3,1,0.3333333,False
3ac2ebcfcd9a497aa7d0849340510577,11/14/2020 7:13:08 PM,11/14/2020 7:13:34 PM,11/15/2020 3:13:08 AM,11/15/2020 3:13:34 AM,4,3 (RED),[0] [3] ,,0:05,4,2,0.5,False

134685a73c664ee6913af7b05d6ed924,11/14/2020 7:24:19 PM,11/14/2020 7:24:23 PM,11/15/2020 3:24:19 AM,11/15/2020 3:24:23 AM,1,0 (TUTORIAL),[0] ,,0:03,1,1,1,False
134685a73c664ee6913af7b05d6ed924,11/14/2020 7:24:19 PM,11/14/2020 7:24:28 PM,11/15/2020 3:24:19 AM,11/15/2020 3:24:28 AM,1,0 (TUTORIAL),[0] [2] ,,0:02,2,2,1,False
134685a73c664ee6913af7b05d6ed924,11/14/2020 7:24:19 PM,11/14/2020 7:24:35 PM,11/15/2020 3:24:19 AM,11/15/2020 3:24:35 AM,1,0 (TUTORIAL),[0] [2] [2] ,,0:03,3,3,1,False
134685a73c664ee6913af7b05d6ed924,11/14/2020 7:24:19 PM,11/14/2020 7:24:42 PM,11/15/2020 3:24:19 AM,11/15/2020 3:24:42 AM,1,0 (TUTORIAL),[0] [2] [2] [1] ,[???],0:03,4,3,0.75,False

134685a73c664ee6913af7b05d6ed924,11/14/2020 7:24:57 PM,11/14/2020 7:25:01 PM,11/15/2020 3:24:57 AM,11/15/2020 3:25:01 AM,2,1 (BLUE),[2] ,,0:03,1,1,1,False
134685a73c664ee6913af7b05d6ed924,11/14/2020 7:24:57 PM,11/14/2020 7:25:06 PM,11/15/2020 3:24:57 AM,11/15/2020 3:25:06 AM,2,1 (BLUE),[2] [1] ,,0:03,2,2,1,False
134685a73c664ee6913af7b05d6ed924,11/14/2020 7:24:57 PM,11/14/2020 7:25:13 PM,11/15/2020 3:24:57 AM,11/15/2020 3:25:13 AM,2,1 (BLUE),[2] [1] [2] ,[???],0:03,3,2,0.6666667,False
134685a73c664ee6913af7b05d6ed924,11/14/2020 7:24:57 PM,11/14/2020 7:25:18 PM,11/15/2020 3:24:57 AM,11/15/2020 3:25:18 AM,2,1 (BLUE),[2] [1] ,,0:02,4,3,0.75,False

134685a73c664ee6913af7b05d6ed924,11/14/2020 7:25:36 PM,11/14/2020 7:25:41 PM,11/15/2020 3:25:36 AM,11/15/2020 3:25:41 AM,3,2 (GREEN),[3] ,[???],0:03,1,0,0,False
134685a73c664ee6913af7b05d6ed924,11/14/2020 7:25:36 PM,11/14/2020 7:25:44 PM,11/15/2020 3:25:36 AM,11/15/2020 3:25:44 AM,3,2 (GREEN),[3] ,,0:02,2,1,0.5,False
134685a73c664ee6913af7b05d6ed924,11/14/2020 7:25:36 PM,11/14/2020 7:25:49 PM,11/15/2020 3:25:36 AM,11/15/2020 3:25:49 AM,3,2 (GREEN),[3] [4] ,,0:02,3,2,0.6666667,False
134685a73c664ee6913af7b05d6ed924,11/14/2020 7:25:36 PM,11/14/2020 7:25:55 PM,11/15/2020 3:25:36 AM,11/15/2020 3:25:55 AM,3,2 (GREEN),[3] [4] [3] ,,0:02,4,3,0.75,False

