userId,localStartTime,localEndTime,utcStartTime,utcEndTime,currentRound,difficultyLevel,sequenceAttempted,buttonMissed,timeSpentInSequence,totalSequencesAttemptedInRound,totalSequencesCorrectInRound,sequenceSuccessPercentageInRound,roundCompleted
d1f1e6fbb8d9479c9ffd24c486214772,11/14/2020 7:03:11 PM,11/14/2020 7:03:19 PM,11/15/2020 3:03:11 AM,11/15/2020 3:03:19 AM,1,0 (TUTORIAL),[0] ,,0:06,1,1,1,False
d1f1e6fbb8d9479c9ffd24c486214772,11/14/2020 7:03:11 PM,11/14/2020 7:03:23 PM,11/15/2020 3:03:11 AM,11/15/2020 3:03:23 AM,1,0 (TUTORIAL),[0] [2] ,,0:02,2,2,1,False
d1f1e6fbb8d9479c9ffd24c486214772,11/14/2020 7:03:11 PM,11/14/2020 7:03:30 PM,11/15/2020 3:03:11 AM,11/15/2020 3:03:30 AM,1,0 (TUTORIAL),[0] [2] [2] ,[???],0:03,3,2,0.6666667,False
d1f1e6fbb8d9479c9ffd24c486214772,11/14/2020 7:03:11 PM,11/14/2020 7:03:36 PM,11/15/2020 3:03:11 AM,11/15/2020 3:03:36 AM,1,0 (TUTORIAL),[0] [2] ,,0:03,4,3,0.75,False
d1f1e6fbb8d9479c9ffd24c486214772,11/14/2020 7:03:52 PM,11/14/2020 7:03:56 PM,11/15/2020 3:03:52 AM,11/15/2020 3:03:56 AM,2,1 (BLUE),[2] ,,0:03,1,1,1,False
d1f1e6fbb8d9479c9ffd24c486214772,11/14/2020 7:03:52 PM,11/14/2020 7:04:01 PM,11/15/2020 3:03:52 AM,11/15/2020 3:04:01 AM,2,1 (BLUE),[2] [1] ,,0:02,2,2,1,False
d1f1e6fbb8d9479c9ffd24c486214772,11/14/2020 7:03:52 PM,11/14/2020 7:04:08 PM,11/15/2020 3:03:52 AM,11/15/2020 3:04:08 AM,2,1 (BLUE),[2] [1] [2] ,,0:04,3,3,1,False
d1f1e6fbb8d9479c9ffd24c486214772,11/14/2020 7:03:52 PM,11/14/2020 7:04:15 PM,11/15/2020 3:03:52 AM,11/15/2020 3:04:15 AM,2,1 (BLUE),[2] [1] [2] [1] ,[???],0:02,4,3,0.75,False
d1f1e6fbb8d9479c9ffd24c486214772,11/14/2020 7:03:52 PM,11/14/2020 7:04:21 PM,11/15/2020 3:03:52 AM,11/15/2020 3:04:21 AM,2,1 (BLUE),[2] [1] [2] ,,0:03,5,4,0.8,False
d1f1e6fbb8d9479c9ffd24c486214772,11/14/2020 7:03:52 PM,11/14/2020 7:04:22 PM,11/15/2020 3:03:52 AM,11/15/2020 3:04:22 AM,2,1 (BLUE),[2] ,,0:03,6,5,0.8333333,True
