userId,localStartTime,localEndTime,utcStartTime,utcEndTime,currentRound,difficultyLevel,sequenceAttempted,buttonMissed,timeSpentInSequence,totalSequencesAttemptedInRound,totalSequencesCorrectInRound,sequenceSuccessPercentageInRound,roundCompleted
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:39:08 AM,10/10/2020 11:39:38 AM,10/10/2020 6:39:08 PM,10/10/2020 6:39:38 PM,6,5 (ORANGE),,,0:26,0,0,0,True
309a6b81dc4c4f329ef63318d617fee7,10/10/2020 11:39:51 AM,10/10/2020 11:40:21 AM,10/10/2020 6:39:51 PM,10/10/2020 6:40:21 PM,7,5 (ORANGE),,,0:26,0,0,0,True
16b99db9be864624b079a0bcfa536378,10/10/2020 11:52:09 AM,10/10/2020 11:52:15 AM,10/10/2020 6:52:09 PM,10/10/2020 6:52:15 PM,1,0 (TUTORIAL),[0] ,,0:05,1,1,1,False
16b99db9be864624b079a0bcfa536378,10/10/2020 11:52:09 AM,10/10/2020 11:52:20 AM,10/10/2020 6:52:09 PM,10/10/2020 6:52:20 PM,1,0 (TUTORIAL),[0] [2] ,,0:02,2,2,1,False
16b99db9be864624b079a0bcfa536378,10/10/2020 11:52:09 AM,10/10/2020 11:52:26 AM,10/10/2020 6:52:09 PM,10/10/2020 6:52:26 PM,1,0 (TUTORIAL),[0] [2] [2] ,,0:02,3,3,1,False
16b99db9be864624b079a0bcfa536378,10/10/2020 11:52:09 AM,10/10/2020 11:52:34 AM,10/10/2020 6:52:09 PM,10/10/2020 6:52:34 PM,1,0 (TUTORIAL),[0] [2] [2] [1] ,[???],0:03,4,3,0.75,False
16b99db9be864624b079a0bcfa536378,10/10/2020 11:52:09 AM,10/10/2020 11:52:39 AM,10/10/2020 6:52:09 PM,10/10/2020 6:52:39 PM,1,0 (TUTORIAL),[0] [2] [2] ,,0:02,5,4,0.8,True

16b99db9be864624b079a0bcfa536378,10/10/2020 11:52:55 AM,10/10/2020 11:52:58 AM,10/10/2020 6:52:55 PM,10/10/2020 6:52:58 PM,2,1 (BLUE),[2] ,,0:01,1,1,1,False
16b99db9be864624b079a0bcfa536378,10/10/2020 11:52:55 AM,10/10/2020 11:53:03 AM,10/10/2020 6:52:55 PM,10/10/2020 6:53:03 PM,2,1 (BLUE),[2] [1] ,,0:02,2,2,1,False
16b99db9be864624b079a0bcfa536378,10/10/2020 11:52:55 AM,10/10/2020 11:53:09 AM,10/10/2020 6:52:55 PM,10/10/2020 6:53:09 PM,2,1 (BLUE),[2] [1] [2] ,,0:02,3,3,1,False
16b99db9be864624b079a0bcfa536378,10/10/2020 11:52:55 AM,10/10/2020 11:53:15 AM,10/10/2020 6:52:55 PM,10/10/2020 6:53:15 PM,2,1 (BLUE),[2] [1] [2] [1] ,,0:02,4,4,1,False
16b99db9be864624b079a0bcfa536378,10/10/2020 11:52:55 AM,10/10/2020 11:53:23 AM,10/10/2020 6:52:55 PM,10/10/2020 6:53:23 PM,2,1 (BLUE),[2] [1] [2] [1] [1] ,[???],0:03,5,4,0.8,False
16b99db9be864624b079a0bcfa536378,10/10/2020 11:52:55 AM,10/10/2020 11:53:25 AM,10/10/2020 6:52:55 PM,10/10/2020 6:53:25 PM,2,1 (BLUE),[2] [1] [2] [1] [1] ,[???],0:04,5,4,0.8,True
16b99db9be864624b079a0bcfa536378,10/10/2020 11:53:35 AM,10/10/2020 11:53:39 AM,10/10/2020 6:53:35 PM,10/10/2020 6:53:39 PM,3,2 (GREEN),[3] ,,0:02,1,1,1,False
16b99db9be864624b079a0bcfa536378,10/10/2020 11:53:35 AM,10/10/2020 11:53:44 AM,10/10/2020 6:53:35 PM,10/10/2020 6:53:44 PM,3,2 (GREEN),[3] [4] ,,0:02,2,2,1,False
16b99db9be864624b079a0bcfa536378,10/10/2020 11:53:35 AM,10/10/2020 11:53:49 AM,10/10/2020 6:53:35 PM,10/10/2020 6:53:49 PM,3,2 (GREEN),[3] [4] [3] ,,0:02,3,3,1,False
16b99db9be864624b079a0bcfa536378,10/10/2020 11:53:35 AM,10/10/2020 11:53:56 AM,10/10/2020 6:53:35 PM,10/10/2020 6:53:56 PM,3,2 (GREEN),[3] [4] [3] [2] ,,0:02,4,4,1,False
16b99db9be864624b079a0bcfa536378,10/10/2020 11:53:35 AM,10/10/2020 11:54:05 AM,10/10/2020 6:53:35 PM,10/10/2020 6:54:05 PM,3,2 (GREEN),[3] [4] [3] [2] [0] ,[???],0:04,5,4,0.8,True

16b99db9be864624b079a0bcfa536378,10/10/2020 11:54:14 AM,10/10/2020 11:54:22 AM,10/10/2020 6:54:14 PM,10/10/2020 6:54:22 PM,4,3 (RED),[0] [3] [5] ,,0:04,1,1,1,False
16b99db9be864624b079a0bcfa536378,10/10/2020 11:54:14 AM,10/10/2020 11:54:31 AM,10/10/2020 6:54:14 PM,10/10/2020 6:54:31 PM,4,3 (RED),[0] [3] [5] [4] ,,0:05,2,2,1,False
16b99db9be864624b079a0bcfa536378,10/10/2020 11:54:14 AM,10/10/2020 11:54:44 AM,10/10/2020 6:54:14 PM,10/10/2020 6:54:44 PM,4,3 (RED),[0] [3] [5] [4] [1] ,[???],0:08,3,2,0.6666667,True

16b99db9be864624b079a0bcfa536378,10/10/2020 11:54:53 AM,10/10/2020 11:54:56 AM,10/10/2020 6:54:53 PM,10/10/2020 6:54:56 PM,5,4 (YELLOW),[4] ,,0:02,1,1,1,False
16b99db9be864624b079a0bcfa536378,10/10/2020 11:54:53 AM,10/10/2020 11:55:01 AM,10/10/2020 6:54:53 PM,10/10/2020 6:55:01 PM,5,4 (YELLOW),[4] [5] ,,0:02,2,2,1,False
