userId,localStartTime,localEndTime,utcStartTime,utcEndTime,currentRound,difficultyLevel,sequenceAttempted,buttonMissed,timeSpentInSequence,totalSequencesAttemptedInRound,totalSequencesCorrectInRound,sequenceSuccessPercentageInRound
81252d16e1e34ca8a9b16b1d6938db38,3/7/2021 8:37:24 PM,3/7/2021 8:37:29 PM,3/8/2021 4:37:24 AM,3/8/2021 4:37:29 AM,1,0 (TUTORIAL),[0] ,,0:03,1,1,1
81252d16e1e34ca8a9b16b1d6938db38,3/7/2021 8:37:24 PM,3/7/2021 8:37:36 PM,3/8/2021 4:37:24 AM,3/8/2021 4:37:36 AM,1,0 (TUTORIAL),[0] [0] ,,0:04,2,2,1
0b7fcc34b7f64a768faa4b6c8419acd8,3/7/2021 8:38:57 PM,3/7/2021 8:39:02 PM,3/8/2021 4:38:57 AM,3/8/2021 4:39:02 AM,1,0 (TUTORIAL),[1] ,,0:03,1,1,1
0b7fcc34b7f64a768faa4b6c8419acd8,3/7/2021 8:38:57 PM,3/7/2021 8:39:08 PM,3/8/2021 4:38:57 AM,3/8/2021 4:39:08 AM,1,0 (TUTORIAL),[1] [1] ,,0:04,2,2,1
0b7fcc34b7f64a768faa4b6c8419acd8,3/7/2021 8:38:57 PM,3/7/2021 8:39:17 PM,3/8/2021 4:38:57 AM,3/8/2021 4:39:17 AM,1,0 (TUTORIAL),[1] [1] [2] ,,0:05,3,3,1


0b7fcc34b7f64a768faa4b6c8419acd8,3/7/2021 8:39:48 PM,3/7/2021 8:39:52 PM,3/8/2021 4:39:48 AM,3/8/2021 4:39:52 AM,2,1 (BLUE),[0] ,,0:03,1,1,1
0b7fcc34b7f64a768faa4b6c8419acd8,3/7/2021 8:39:48 PM,3/7/2021 8:39:59 PM,3/8/2021 4:39:48 AM,3/8/2021 4:39:59 AM,2,1 (BLUE),[0] [2] ,[0] [0],0:04,2,1,0.5
0b7fcc34b7f64a768faa4b6c8419acd8,3/7/2021 8:39:48 PM,3/7/2021 8:40:04 PM,3/8/2021 4:39:48 AM,3/8/2021 4:40:04 AM,2,1 (BLUE),[0] ,,0:03,3,2,0.6666667
