userId,localStartTime,localEndTime,utcStartTime,utcEndTime,currentRound,difficultyLevel,sequenceAttempted,buttonMissed,timeSpentInSequence,totalSequencesAttemptedInRound,totalSequencesCorrectInRound,sequenceSuccessPercentageInRound,roundCompleted
3725b3104762461782c783a0cfd96a36,10/27/2020 3:45:09 PM,10/27/2020 3:45:11 PM,10/27/2020 10:45:09 PM,10/27/2020 10:45:11 PM,1,0 (TUTORIAL),,,0:01,0,0,0,True
3725b3104762461782c783a0cfd96a36,10/27/2020 3:45:22 PM,10/27/2020 3:45:24 PM,10/27/2020 10:45:22 PM,10/27/2020 10:45:24 PM,2,1 (BLUE),,,0:01,0,0,0,True
3725b3104762461782c783a0cfd96a36,10/27/2020 3:45:32 PM,10/27/2020 3:45:34 PM,10/27/2020 10:45:32 PM,10/27/2020 10:45:34 PM,3,2 (GREEN),,,0:01,0,0,0,True
3725b3104762461782c783a0cfd96a36,10/27/2020 3:45:41 PM,10/27/2020 3:45:44 PM,10/27/2020 10:45:41 PM,10/27/2020 10:45:44 PM,4,3 (RED),,,0:03,0,0,0,True
3725b3104762461782c783a0cfd96a36,10/27/2020 3:45:52 PM,10/27/2020 3:46:07 PM,10/27/2020 10:45:52 PM,10/27/2020 10:46:07 PM,5,4 (YELLOW),,,0:01,0,0,0,True
3725b3104762461782c783a0cfd96a36,10/27/2020 3:46:16 PM,10/27/2020 3:47:31 PM,10/27/2020 10:46:16 PM,10/27/2020 10:47:31 PM,6,5 (ORANGE),,,0:03,0,0,0,True
8831f601468d4732975a1b7ad6b15ea6,10/27/2020 4:01:05 PM,10/27/2020 4:01:19 PM,10/27/2020 11:01:05 PM,10/27/2020 11:01:19 PM,1,0 (TUTORIAL),[0] ,,0:12,1,1,1,False
8831f601468d4732975a1b7ad6b15ea6,10/27/2020 4:01:05 PM,10/27/2020 4:01:25 PM,10/27/2020 11:01:05 PM,10/27/2020 11:01:25 PM,1,0 (TUTORIAL),[0] [2] ,,0:03,2,2,1,False
8831f601468d4732975a1b7ad6b15ea6,10/27/2020 4:01:05 PM,10/27/2020 4:01:30 PM,10/27/2020 11:01:05 PM,10/27/2020 11:01:30 PM,1,0 (TUTORIAL),[0] [2] [2] ,,0:02,3,3,1,False
8831f601468d4732975a1b7ad6b15ea6,10/27/2020 4:01:05 PM,10/27/2020 4:01:35 PM,10/27/2020 11:01:05 PM,10/27/2020 11:01:35 PM,1,0 (TUTORIAL),[0] [2] [2] [1] ,,0:01,4,4,1,True

